BTNum	Lemma	POS	Forms
23811	ni+ting	Noun	ni+ting
23812	ni+t-lice	Adverb	ni+t-lice
23813	ni+t-loca	Noun	ni+t-loca
23815	ni+t-plega	Noun	ni+t-plega
23817	ni+t-scea+da	Noun	ni+t-scea+da
23818	ni+t-sele	Noun	ni+t-sele
2382	a-stregdan	Verb	a-stregdan
23820	ni+t+tas	Noun	ni+t+tas
23821	ni+t-weorc	Noun	ni+t-weorc
23822	ni+t-wracu	Noun	ni+t-wracu
23823	ni+t-wundor	Noun	ni+t-wundor
23824	niwan	Adverb	niwan
23825	niwan-acenned	Adjective	niwan-acenned
23826	niwan-cumen	Adjective	niwan-cumen
23827	niwane	Adverb	niwane
23828	niw-bacen	Adjective	niw-bacen
23829	niw-cealct	Adjective	niw-cealct;cealct
2383	astreht	Verb	astreht
23830	niw-cenned	Adjective	niw-cenned
23831	niw-cumen	Adjective	niw-cumen
23832	niwe	Adjective	niwe;niwung
23833	niwe	Adverb	niwe
23835	niw-fara	Noun	niw-fara
23836	niw-gecirred	Adjective	niw-gecirred;ge-cirran
23837	niw-gehalgod	Adjective	niw-gehalgod
23838	niw-gehwirfed	Adjective	niw-gehwirfed
23839	niw-hwirfed	Adjective	niw-hwirfed
2384	astrengd	Adjective	astrengd
23840	niw-hworfen	Adjective	niw-hworfen
23841	niwian	Verb	niwian
23842	ni-wiht	Pronoun	ni-wiht
23843	niwinga	Noun, Adjective, Adverb	niwinga
23844	niw-lic	Adjective	niw-lic
23845	niwlice	Adverb	niwlice
23846	niwness	Noun	niwness
23848	niw-tirwed	Adjective	niw-tirwed
23849	niwung	Noun	niwung
2385	a-strican	Verb	a-strican
23850	niwunga	Adverb	niwunga
23851	niwerne	Adjective	niwerne
23853	no	Noun, Adjective, Verb, Adverb, Prefix	no
23854	non	Noun	non
23855	non	Noun	non
23856	non-gereord	Noun	non-gereord
23857	non-mete	Noun	non-mete
23858	non-sang	Noun	non-sang
23859	non-tid	Noun	non-tid
2386	a-strienan	Verb	a-strienan
23860	non-tima	Noun	non-tima
23861	Normandig	Noun	Normandig
23863	Norren	Adjective	Norren
23864	nor+t	Adjective	nor+t
23865	nor+t	Adverb	nor+t
23866	nor+tan	Adverb	nor+tan
23867	nor+tan-eastan	Adverb	nor+tan-eastan
23868	nor+tan-eastan	Adverb	nor+tan-eastan
23869	nor+tan-eastan-wind	Noun	nor+tan-eastan-wind
2387	astrihilthet	Noun	astrihilthet
23870	Nor+tan-hymbre	Noun	Nor+tan-hymbre
23871	nor+tan-weard	Adjective	nor+tan-weard
23872	nor+tan-westan	Adverb	nor+tan-westan
23873	nor+tan-westan	Adverb	nor+tan-westan
23874	nor+tan-westan-wind	Noun	nor+tan-westan-wind
23875	nor+tan-wind	Noun	nor+tan-wind
23876	nor+t-d+al	Noun	nor+t-d+al
23877	Nor+t-Dene	Noun	Nor+t-Dene
23878	nor+t-duru	Noun	nor+t-duru
23879	nor+t-east	Adverb	nor+t-east
2388	a-stundian	Verb	a-stundian
23880	nor+teast-ende	Noun, Adjective	nor+teast-ende
23881	nor+teast-lang	Adjective	nor+teast-lang
23882	nor+t-ende	Noun, Adjective	nor+t-ende
23883	Nor+t-Engle	Noun	Nor+t-Engle
23884	nor+terne	Adjective	nor+terne
23885	nor+te-weard	Adjective	nor+te-weard
23886	nor+t-folc	Noun	nor+t-folc
23887	nor+t-gem+are	Noun	nor+t-gem+are
23888	Nor+t-Gyrwas	Noun	Nor+t-Gyrwas
23889	Nor+thamtun	Noun	Nor+thamtun
2389	a-styfecigan	Verb	a-styfecigan
23890	nor+t-healf	Noun	nor+t-healf
23891	nor+t-here	Noun	nor+t-here
23892	Nor+t-hymbre	Noun	Nor+t-hymbre
23893	Nor+t-hymbre	Adjective	Nor+t-hymbre
23894	Nor+t-hymbrisc	Adjective	Nor+t-hymbrisc
23895	nor+t-land	Noun	nor+t-land
23896	nor+t-lane	Noun	nor+t-lane
23897	nor+t-leode	Noun	nor+t-leode
23898	nor+t-lic	Adjective	nor+t-lic
23899	Nor+t-mann	Noun	Nor-men;Nor+t-mann
2390	a-styltan	Verb	a-styltan
23900	nor+tmest	Adjective	nor+tmest
23901	Nor+t-Mirce	Noun	Nor+t-Mirce
23902	nor+t-portic	Noun	nor+t-portic
23903	Nor+triga	Noun	Nor+triga
23904	nor+t-rihte	Adverb	nor+t-rihte
23905	nor+t-rodor	Noun	nor+t-rodor
23906	nor+t-s+a	Noun	nor+t-s+a
23907	nor+t-sceata	Noun	nor+t-sceata
23908	Nor+t-Scottas	Noun	Nor+t-Scottas;Scottas
23909	nor+t-+teod	Noun	nor+t-+teod
2391	a-stynt	Verb	a-stynt
23910	Nor+t-Walas	Noun	Nor+t-Walas
23911	Nor+t-Wealh-cynn	Noun	Nor+t-Wealh-cynn
23912	nor+t-weard	Adjective	nor+t-weard
23913	nor+t-weard	Adverb	nor+t-weard
23914	nor+tweardes	Adverb	nor+tweardes
23915	nor+t-weg	Noun	nor+t-weg
23916	nor+t-west	Adverb	nor+t-west
23917	nor+twest-ende	Noun, Adjective	nor+twest-ende
23918	nor+twest-gem+are	Noun	nor+twest-gem+are
23919	Nor+t-wic	Noun	Nor+t-wic
2392	a-styrfan	Verb	a-styrfan;a-sterfan
23920	nor+t-wind	Noun	nor+t-wind;nor+tan-wind
23921	Norweg	Noun	Norweg
23923	nos-gristle	Noun	nos-gristle
23925	nos-+tyrel	Noun	nos-+tyrel
23926	nostle	Noun	nosle;nostle
23927	nosu	Noun	nose;nosu
23928	not	Noun	not
23929	-note	Suffix	-note;hion
