BTNum	Lemma	POS	Forms
1	A	Prefix	A
10	aar	Noun	aar
100	a-bregdan	Verb	a-bregdan
1000	+at-slidan	Verb	+at-slidan
10000	f+ar-wundor	Noun	f+ar-wundor
10001	f+ar-wyrd	Noun	f+ar-wyrd
10002	f+aryld	Noun	f+aryld
10003	f+as	Noun	f+as;f+asce
10004	F+ASL	Noun	F+ASL
10005	F+AST	Adjective	F+AST
10006	-f+ast	Suffix	-f+ast
10007	f+astan	Verb	f+astan
10008	f+aste	Adverb	f+aste
10009	f+asten	Noun	f+asten;f+astern
1001	+at-somne	Adverb	+at-somne
10010	f+asten-beh+afednes	Noun	f+asten-beh+afednes
10011	f+asten-brice	Noun	f+asten-brice
10012	f+asten-d+ag	Noun	f+asten-d+ag
10013	f+asten-dic	Noun	f+asten-dic
10014	f+asten-geat	Noun	f+asten-geat
10015	f+asten-gewerc	Noun	f+asten-gewerc
10016	f+astennes	Noun	f+astennes
10017	f+asten-tid	Noun	f+asten-tid
10018	f+aster-modor	Noun	f+aster-modor
10019	f+astes	Adverb	f+astes
1002	+at-speornan	Verb	+at-speornan
10020	f+ast-gongel	Adjective	f+ast-gongel
10021	f+ast-hafol	Adjective	f+ast-hafol
10022	f+ast-hafolnes	Noun	f+ast-hafolnes
10023	f+ast-hydig	Adjective	f+ast-hydig
10024	f+asting	Noun	f+asting;f+asting-men
10025	f+astingan	Verb	f+astingan
10026	f+asting-men	Noun	f+asting-men
10027	f+astlic	Adjective	f+astlic
10028	f+astlice	Adverb	f+astlice
10029	f+ast-mod	Adjective	f+ast-mod
1003	+at-springan	Verb	+at-springan
10030	f+astmod-sta+dol	Noun	f+astmod-sta+dol
10031	f+astn	Noun	f+astn
10032	f+astn	Noun	f+astn
10033	f+ast-nes	Noun	f+ast-nes
10034	f+astnian	Verb	f+astnian
10035	f+astnung	Noun	f+astnung
10036	f+ast-r+ad	Adjective	f+ast-r+ad
10037	f+ast-r+adlice	Adverb	f+ast-r+adlice
10038	f+ast-r+adnes	Noun	f+ast-r+adnes
10039	f+ast-steall	Adjective	f+ast-steall
1004	+at-springnes	Noun	+at-springnes
10040	F+AT	Noun	F+AT;fatu
10041	f+at	Noun	f+at
10042	f+at	Adjective	f+at
10043	f+at	Noun	f+at
10044	f+ated	Verb	f+ated
10045	f+ated-hleor	Noun	f+ated-hleor
10046	f+ated-sinc	Noun	f+ated-sinc
10047	f+atels	Noun	f+atels
10048	f+atelsian	Verb	f+atelsian
10049	f+atere	Adjective	f+atere
1005	+at-spurne	Verb	+at-spurne
10050	f+at-fellere	Noun	f+at-fellere
10051	f+at-gold	Noun	f+at-gold
10052	f+a+dem	Noun	f+a+dem
10053	f+at-hengest	Noun	f+at-hengest
10054	f+a+der	Noun	f+a+der
10055	f+a+der-homa	Noun	f+a+der-homa
10056	F+A+DM	Noun	F+A+DM
10057	f+a+dmian	Verb	f+a+dmian
10058	f+a+dm-lic	Adjective	f+a+dm-lic
10059	f+a+dm-rim	Noun	f+a+dm-rim
1006	+at-spyrning	Noun	+at-spyrning
10060	f+atian	Verb	f+atian
10061	f+atnes	Noun	f+atnes
10062	F+ATT	Adjective	F+ATT;f+at
10063	f+att	Verb	f+att
10064	f+attian	Verb	f+attian
10065	f+ax	Noun	f+ax
10066	f+ax	Noun	f+ax
10067	FAG	Adjective	FAG;fah;faag
10068	fag	Adjective	fag
10069	fagc	Noun	fagc
10070	fagen	Adjective	fagen
10071	fagenian	Verb	fagenian
10072	fagettan	Verb	fagettan
10073	fagetung	Noun	fagetung
10074	fagian	Verb	fagian
10075	fagnian	Verb	fagnian
10076	fagnys	Noun	fagnys
10077	fagung	Noun	fagung
10078	fah	Adjective	fah;ge-fah;fag
10079	FAH	Adjective	FAH
1008	+at-standan	Verb	+at-standan
10080	fah-man	Noun	fah-man
10081	fahnian	Verb	fahnian
10082	fahnys	Noun	fahnys
10083	faht	Verb	faht
10084	fa-l+acan	Verb	fa-l+acan
10085	fald	Noun	fald;falod
10086	fald-gang	Noun	fald-gang
10087	fald-gang-penig	Noun	fald-gang-penig
10088	fald-wur+t	Adjective	fald-wur+t
10089	falewe	Noun	falewe
1009	+at-stapan	Verb	+at-stapan
10090	falewende	Adjective	falewende
10091	fallende	Verb	fallende
10092	FALS	Noun	FALS
10093	Falster	Noun	Falster
10094	FAM	Noun	FAM
10095	fam-blawende	Verb	fam-blawende
10096	famgian	Verb	famgian
10097	famig	Adjective	famig
10098	famig-bord	Noun	famig-bord
10099	famig-bosm	Noun	famig-bosm
101	a-bremende	Adjective	a-bremende
1010	+at-steal	Noun	+at-steal
10100	famig-heals	Adjective	famig-heals
10102	fan	Noun	fan
10103	FANA	Noun	FANA;fanu;fona
10104	fand	Verb	fand
10105	fandere	Noun	fandere
10106	fandian	Verb	fandian
10107	fandlic	Adjective	fandlic
10108	fandung	Noun	fandung
10109	fang	Noun	fang
10110	fangen	Verb	fangen
10111	fangen-nes	Noun	fangen-nes
10112	FANN	Noun	FANN
10113	fant	Noun	fant
10114	fant-f+at	Noun	fant-f+at
10115	fant-w+ater	Noun	fant-w+ater
10116	fara	Noun	fara
10117	fara	Noun	fara
10118	FARAN	Verb	FARAN
10119	fara+t-lacende	Verb	fara+t-lacende
1012	+at-stillan	Verb	+at-stillan
10120	fare	Noun	fare
10121	fareld	Noun	fareld
10122	fare+t-lacende	Verb	fare+t-lacende
10123	Fariseisc	Adjective	Fariseisc
10124	Farnea ealond	Noun	Farnea ealond
10125	faro+t	Noun	faro+t;brim-faro+t
10126	faro+t-hengest	Noun	faro+t-hengest
10127	faro+t-lacende	Verb	faro+t-lacende
10128	faro+t-ridende	Verb	faro+t-ridende
10129	faro+t-str+at	Noun	faro+t-str+at
1013	+at-swerian	Verb	+at-swerian
10130	FARU	Noun	FARU
10131	fas	Noun	fas
10132	fast	Adjective	fast
10133	fastitocalon	Noun	fastitocalon
10134	fatan	Verb	fatan
10135	fa+du	Noun	fa+du
10136	fatu	Noun	fatu
10138	fea	Noun	fea
10139	fea	Noun	fea
1014	+at-swymman	Verb	+at-swymman
10140	fea	Adjective	fea
10141	fea	Adverb	fea
10142	feagan	Verb	feagan
10143	feaht	Verb	feaht
10144	feala	Adjective	feala
10145	feala-for	Noun	feala-for;feolu-for
10146	feala-hiw	Noun	feala-hiw
10147	feald	Noun	feald
10148	feald	Noun	feald
10149	-feald	Suffix	-feald
10150	FEALDAN	Verb	FEALDAN
10151	feale	Noun	feale
10152	fealewe	Adjective	fealewe
10153	fealewian	Verb	fealewian
10154	fealga	Noun	fealga;f+alging
10155	FEALH	Noun	FEALH
10156	fealh	Verb	fealh
10157	feall	Noun	feall
10158	FEALLAN	Verb	FEALLAN
10159	FEALO	Adjective	FEALO
1016	+atter	Noun	+atter
10160	fealo	Adjective, Numeral	fealo
10161	fea-log	Adjective	fea-log
10162	fealo-hilte	Adjective	fealo-hilte
10163	feal+t	Verb	feal+t
10164	fealu	Noun	fealu
10165	fealu	Noun	fealu
10166	fealuwian	Verb	fealuwian
10167	fealvor	Noun	fealvor
10168	fealwa	Noun	fealwa
10169	fealwe	Adjective	fealwe
1017	+atter-berende	Verb	+atter-berende
10170	fealwian	Verb	fealwian
10171	fean	Noun	fean
10172	feanes	Noun	feanes
10173	fear	Noun	fear
10174	feara	Adjective, Adverb	feara
10175	fearh	Noun	fearh
10176	fearh-hama	Noun	fearh-hama
10177	fearlic	Adjective	fearlic
10178	fearlice	Adverb	fearlice
10179	fearm	Noun	fearm
1018	+atter-loppe	Noun	+atter-loppe
10180	FEARN	Noun	FEARN
10181	fearn-bed	Noun	fearn-bed
10182	Fearn-dun	Noun	Fearn-dun
10183	Fearn-ham	Noun	Fearn-ham
10184	fearn-leas	Adjective	fearn-leas
10185	fearo+t-hengest	Noun	fearo+t-hengest
10186	FEARR	Noun	FEARR
10187	fea-sceaft	Adjective	fea-sceaft
10188	fea-sceaftig	Adjective	fea-sceaftig
10189	feasten	Noun	feasten
1019	+at-+tringan	Verb	+at-+tringan
10190	feastlice	Adverb	feastlice
10191	FEAWA	Noun, Adjective, Numeral	FEAWA
10192	feawera	Adjective, Numeral	feawera
10193	feawnes	Noun	feawnes
10194	FEAX	Noun	FEAX
10195	feax-cla+t	Noun	feax-cla+t
10196	feaxe	Adjective	feaxe
10197	feax-eacas	Noun	feax-eacas
10198	feaxede	Adjective	feaxede
10199	feax-fang	Noun	feax-fang
102	a-breotan	Verb	a-breotan
1020	+attren	Adjective	+attren
10200	feax-feallung	Noun	feax-feallung;feallung
10201	feax-ger+adian	Verb	feax-ger+adian
10202	feax-har	Adjective	feax-har
10203	feax-n+adel	Noun	feax-n+adel
10204	feax-net	Noun	feax-net
10205	feax-preon	Noun	feax-preon
10206	feax-sceacga	Noun	feax-sceacga
10207	feax-sceacged	Adjective, Verb	feax-sceacged
10208	feber-adl	Noun	feber-adl
10209	febrig	Adjective	febrig
1021	+attrian	Verb	+attrian
10210	Februarius	Noun	Februarius
10211	fec	Noun	fec
10212	FECCAN	Verb	FECCAN
10213	fecele	Noun	fecele
10214	fecgan	Verb	fecgan
10215	FEDAN	Verb	FEDAN
10216	fedels	Noun	fedels;fedesl
10217	feder	Noun	feder
10218	federa	Noun	federa
10219	fedesl	Noun	fedesl
1022	+attryn	Adjective	+attryn
10220	feding	Noun	feding
10221	fednes	Noun	fednes
10222	FEFER	Noun	FEFER
10223	fefer-adl	Noun	fefer-adl
10224	fefer-fuge	Noun	fefer-fuge
10225	fefer-seoc	Adjective	fefer-seoc
10226	fefor	Noun	fefor
10227	fefor-adl	Noun	fefor-adl
10228	FEGAN	Verb	FEGAN
10229	feger	Adjective	feger
1023	+at-w+ag	Verb	+at-w+ag
10230	fegere	Adverb	fegere
10231	feging	Noun	feging
10232	fehan	Verb	fehan;a-feh+t
10233	FEL	Adjective	FEL
10234	FEL	Noun	FEL
10235	FELA	Adjective, Numeral	FELA;fala;fealo
10236	fela-f+acne	Adjective	fela-f+acne
10237	fela-feald	Adjective, Numeral	fela-feald
10238	fela-frecne	Adjective	fela-frecne
10239	fela-geomor	Adjective	fela-geomor
1024	+at-w+asend	Adjective	+at-w+asend
10240	fela-geong	Adjective	fela-geong
10241	fela-geonge	Adjective	fela-geonge
10242	fela-hror	Adjective	fela-hror
10243	fela-leof	Adjective	fela-leof
10244	fela-meahtig	Adjective	fela-meahtig
10245	fela-modig	Adjective	fela-modig
10246	felan	Verb	felan
10247	FELAN	Verb	FELAN
10248	fela-sinnig	Adjective	fela-sinnig
10249	fela-specol	Adjective	fela-specol
1025	+at-wegan	Verb	+at-wegan
10250	fela-specolnys	Noun	fela-specolnys
10251	fela-wlonc	Adjective	fela-wlonc
10252	fel-cyrf	Noun	fel-cyrf;cyrf
10253	FELD	Noun	FELD;feald
10254	feld-beo	Noun	feld-beo
10255	feld-ciric	Noun	feld-ciric
10256	felde	Verb	felde
10257	felde-fare	Noun	felde-fare
10258	feld-elfen	Noun	feld-elfen;feld-+alfen
10259	feld-gangende	Verb	feld-gangende
1026	+at-wela	Noun	+at-wela
10260	feld-hry+der	Noun	feld-hry+der
10261	feld-hus	Noun	feld-hus
10262	feld-land	Noun	feld-land
10263	feldlic	Adjective	feldlic
10264	feld-m+adere	Noun	feld-m+adere
10265	feld-minte	Noun	feld-minte
10266	feld-more	Noun	feld-more
10267	feld-oxa	Noun	feld-oxa
10268	feld-rude	Noun	feld-rude
10269	feld-swam	Noun	feld-swam
1027	+at-wenian	Verb	+at-wenian
10270	feld-swop	Noun	feld-swop
10271	feld-westen	Noun	feld-westen
10272	feld-wurma	Noun	feld-wurma
10273	feld-wyrt	Noun	feld-wyrt
10274	fele-fer+t	Noun	fele-fer+t
10275	fele-leas	Adjective	fele-leas
10276	FELG	Noun	FELG
10277	felgan	Verb	felgan
10278	feligean	Verb	feligean
10279	fell	Noun	fell
1028	+at-wesan	Verb	+at-wesan
10280	fell	Noun	fell
10281	fell	Adjective	fell
10282	fellan	Verb	fellan
10283	fellen	Adjective	fellen
10284	felle-w+arc	Noun	felle-w+arc
10285	fel-nys	Noun	fel-nys
10286	felnyss	Noun	felnyss
10287	felo	Adjective	felo
10288	felofor	Noun	felofor;feolufer
10289	felsan	Verb	felsan
1029	+at-windan	Verb	+at-windan
10290	FELT	Noun	FELT
10291	fel+t	Verb	fel+t
10292	fel-tun	Noun	fel-tun
10293	felt-wurma	Noun	felt-wurma
10294	felt-wyrt	Noun	felt-wyrt
10295	femne	Noun	femne
10296	FEN	Noun	FEN;fien
10297	fen-cerse	Noun	fen-cerse
10298	fencg	Verb	fencg
10299	fen-fearn	Noun	fen-fearn
103	a-breo+dan	Verb	a-breo+dan
1030	+at-wist	Noun	+at-wist;+ad-wist
10300	fen-fixas	Noun	fen-fixas
10301	fen-freo+do	Noun	fen-freo+do
10302	fen-fugelas	Noun	fen-fugelas
10303	feng	Noun	feng
10304	feng	Verb	feng
10305	fengel	Noun	fengel
10306	fen-gelad	Noun	fen-gelad;ge-lad
10307	feng-net	Noun	feng-net
10308	fen-hli+t	Noun	fen-hli+t
10309	fen-hop	Noun	fen-hop
1031	+at-witan	Verb	+at-witan
10310	fenix	Noun	fenix
10311	fen-land	Noun	fen-land
10312	fen-lic	Adjective	fen-lic
10313	fen-minte	Noun	fen-minte
10314	fenn	Noun	fenn
10315	fennig	Adjective	fennig
10316	fenol	Noun	fenol
10317	fen-yce	Noun	fen-yce;f+anuc+a;faerucae
10318	feo	Noun	feo
10319	feode	Verb	feode
1032	+at-ycan	Verb	+at-ycan
10320	FEOGAN	Verb	FEOGAN
10321	feo-gytsung	Noun	feo-gytsung;feoh-gytsung
10322	FEOH	Noun	FEOH
10323	FEOHAN	Verb	FEOHAN
10324	feoh-bot	Noun	feoh-bot
10325	feoh-ern	Noun	feoh-ern
10326	feoh-fang	Noun	feoh-fang
10327	feoh-gafol	Noun	feoh-gafol
10328	feoh-georn	Adjective	feoh-georn
10329	feoh-gesteald	Noun	feoh-gesteald
1033	+at-yccnys	Noun	+at-yccnys
10330	feoh-gestreon	Noun	feoh-gestreon
10331	feoh-gifre	Adjective	feoh-gifre
10332	feoh-gift	Noun	feoh-gift
10333	feoh-gitsere	Noun	feoh-gitsere
10334	feoh-gyrnes	Noun	feoh-gyrnes
10336	feoh-hof	Noun	feoh-hof
10337	feoh-hord	Noun	feoh-hord
10338	feoh-hus	Noun	feoh-hus
10339	feoh-l+anung	Noun	feoh-l+anung;l+anung
1034	+a-tynan	Verb	+a-tynan
10340	feoh-leas	Adjective	feoh-leas
10341	feoh-leasnes	Noun	feoh-leasnes
10342	feoh-sceat	Noun	feoh-sceat
10343	feoh-spillung	Noun	feoh-spillung
10344	feoh-strang	Adjective	feoh-strang
10345	feoht	Noun	feoht
10346	FEOHTAN	Verb	FEOHTAN
10347	feohte	Noun	feohte
10348	feohtere	Noun	feohtere
10349	feoht-lac	Noun	feoht-lac
10350	feoht-wite	Noun	feoht-wite
10351	feol	Verb	feol
10352	FEOL	Noun	FEOL
10353	feola	Adjective, Numeral	feola
10354	feolan	Verb	feolan
10355	feold	Verb	feold
10356	feol-heard	Adjective	feol-heard
10357	feo-lif	Noun	feo-lif
10358	feoll	Verb	feoll
10359	feollon	Verb	feollon
1036	+at-ywan	Verb	+at-ywan
10360	feolo	Adjective, Numeral	feolo
10361	feolu-for	Noun	feolu-for
10362	feon	Noun	feon
10363	feon	Verb	feon;feo+t;feoga+t
10364	feon	Verb	feon
10365	feond	Noun	feond
10366	feond-+at	Noun	feond-+at;+at
10367	feond-grap	Noun	feond-grap
10368	feond-gyld	Noun	feond-gyld
10369	feondlic	Adjective	feondlic
1037	+at-ywnys	Noun	+at-ywnys
10370	feondlice	Adverb	feondlice
10371	feond-r+aden	Noun	feond-r+aden
10372	feond-r+as	Noun	feond-r+as
10373	feond-scea+da	Noun	feond-scea+da
10374	feond-scipe	Noun	feond-scipe
10375	feond-seoc	Adjective	feond-seoc
10376	feond-seocnes	Noun	feond-seocnes
10377	feondulf	Noun	feondulf
10378	feong	Noun	feong
10379	feor	Adjective	feor
1038	+aw	Noun	+aw
10380	FEOR	Adverb	FEOR
10381	feor	Adjective	feor
10382	feora	Noun	feora
10383	feoran	Verb	feoran
10384	feor-buend	Noun	feor-buend
10385	feor-cumen	Verb	feor-cumen
10386	feor-cund	Adjective	feor-cund
10387	feor-cy+t	Noun	feor-cy+t
10388	feord	Noun	feord
10389	feordian	Verb	feordian
1039	+aw	Adjective	+aw
10390	feording	Noun	feording
10391	feore	Noun	feore
10392	feores	Noun	feores
10393	feorg	Noun	feorg
10394	feorg-bold	Noun	feorg-bold
10395	feorg-bona	Noun	feorg-bona
10396	feorg-gedal	Noun	feorg-gedal
10397	FEORH	Noun	FEORH
10398	feorh-adl	Noun	feorh-adl
10399	feorh-bana	Noun	feorh-bana
1040	+awan	Verb	+awan
10400	feorh-bealo	Noun	feorh-bealo
10401	feorh-ben	Noun	feorh-ben
10402	feorh-berende	Verb	feorh-berende
10403	feorh-bold	Noun	feorh-bold
10404	feorh-bona	Noun	feorh-bona
10405	feorh-cwalu	Noun	feorh-cwalu
10406	feorh-cwealm	Noun	feorh-cwealm
10407	feorh-cyn	Noun	feorh-cyn
10408	feorh-d+ag	Noun	feorh-d+ag
10409	feorh-dolh	Noun	feorh-dolh
1041	+aw-breca	Noun	+aw-breca
10410	feorh-eacen	Verb	feorh-eacen
10411	feorh-gebeorh	Noun	feorh-gebeorh
10412	feorh-gedal	Noun	feorh-gedal
10413	feorh-gener	Noun	feorh-gener
10414	feorh-geni+tla	Noun	feorh-geni+tla
10415	feorh-gifa	Noun	feorh-gifa
10416	feorh-gifu	Noun	feorh-gifu
10417	feorh-goma	Noun	feorh-goma
10418	feorh-hord	Noun	feorh-hord
10419	feorh-hus	Noun	feorh-hus
1042	+aw-bryce	Noun	+aw-bryce
10420	feorh-hyrde	Noun	feorh-hyrde
10421	feorh-last	Noun	feorh-last
10422	feorh-lean	Noun	feorh-lean
10423	feorh-lege	Noun	feorh-lege
10424	feorh-lif	Noun	feorh-lif
10425	feorh-loca	Noun	feorh-loca
10426	feorh-lyre	Noun	feorh-lyre
10427	feorh-ner	Noun	feorh-ner
10428	feorh-r+ad	Noun	feorh-r+ad
10429	feorh-scyldig	Adjective	feorh-scyldig
1043	+awda	Noun	+awda
10430	feorh-seoc	Adjective	feorh-seoc
10431	feorh-sweng	Noun	feorh-sweng
10432	feorh-+tearf	Noun	feorh-+tearf
10433	feorh-wund	Noun	feorh-wund
10434	feorlen	Adjective	feorlen
10435	feor-lond	Noun	feor-lond
10436	FEORM	Noun	FEORM;fearm;fyrm
10437	feorma	Adjective	feorma
10438	feormend-leas	Adjective	feormend-leas
10439	feormere	Noun	feormere
1044	+awda-man	Noun	+awda-man
10440	feorm-fultum	Noun	feorm-fultum
10441	feormian	Verb	feormian
10442	feorm-riht	Noun	feorm-riht
10443	feorm+t	Noun	feorm+t
10444	feormung	Noun	feormung
10445	feormynd	Noun	feormynd
10446	feornes	Noun	feornes
10447	feorr	Adjective	feorr
10448	feorr	Adverb	feorr
10449	feorran	Adverb	feorran;feorren
1045	+awe	Noun	+awe
10450	feorran	Verb	feorran
10451	feorran-cund	Adjective	feorran-cund
10452	feorren	Adverb	feorren
10453	feorsian	Verb	feorsian
10454	feor-stu+du	Noun	feor-stu+du
10455	feor+t	Noun	feor+t
10456	feor+ta	Adjective, Numeral	feor+ta
10457	feor+tes fot	Adjective	feor+tes fot
10458	feor+tling	Noun	feor+tling;fyr+tling
10459	feor+t-rice	Noun	feor+t-rice
1046	+a-welm	Noun	+a-welm
10460	feor+tung	Noun	feor+tung;feor+ting
10461	feorting	Noun	feorting
10462	feor-weg	Noun	feor-weg
10463	feorwit-georn	Adjective	feorwit-georn
10464	feorwit-geornes	Noun	feorwit-geornes
10465	feos	Noun	feos
10466	feostnode	Verb	feostnode
10467	feoter	Noun	feoter
10469	feo+der-scete	Adjective	feo+der-scete
1047	+a-wen	Adjective	+a-wen
10470	feotod	Verb	feotod
10471	feoung	Noun	feoung;feowung
10472	FEOWER	Noun, Adjective, Numeral	FEOWER;feow+der;fy+ter
10473	feowera	Noun, Adjective, Numeral	feowera
10474	feower-feald	Adjective, Numeral	feower-feald
10475	feower-fealdan	Verb	feower-fealdan
10476	feower-fete	Adjective	feower-fete
10477	feower-gild	Noun	feower-gild
10478	feower-scyte	Adjective	feower-scyte
10479	feowertene	Noun, Adjective, Numeral	feowertene
1048	+awen-bro+dor	Noun, Adjective	+awen-bro+dor
10480	feowerteo+da	Noun, Adjective, Numeral	feowerteo+da
10481	feower+ta	Adjective, Numeral	feower+ta
10482	feower+ta-f+ader	Noun	feower+ta-f+ader
10483	feower+te-moder	Noun	feower+te-moder
10484	feowertig	Noun, Adjective, Numeral	feowertig
10485	feowertige+da	Noun	feowertige+da
10486	feowertig-feald	Adjective, Numeral	feowertig-feald
10487	feowertig-lic	Adjective	feowertig-lic
10488	feowertyne	Noun, Adjective, Numeral	feowertyne
10489	feowra	Noun, Adjective, Numeral	feowra
1049	+a-werd	Adjective	+a-werd
10490	feowr+ta	Noun, Adjective, Numeral	feowr+ta
10491	feowrtig	Noun, Adjective, Numeral	feowrtig
10492	feowung	Noun	feowung
10493	feowurtig	Noun, Adjective, Numeral	feowurtig
10494	fer	Noun	fer
10495	fer	Noun	fer
10496	fer	Noun	fer
10497	fera	Noun	fera
10498	feran	Verb	feran
10499	fer-bed	Noun	fer-bed
1050	+a-werdla	Noun	+a-werdla
10500	fer-bl+ad	Noun	fer-bl+ad
10501	fercian	Verb	fercian
10502	fer-clam	Noun	fer-clam
10503	fercung	Noun	fercung
10504	fercu+t	Adjective	fercu+t
10505	ferd	Noun	ferd
10506	ferde	Verb	ferde
10507	ferd-faru	Noun	ferd-faru
10508	ferd-mon	Noun	ferd-mon
10509	ferd-rinc	Noun	ferd-rinc
1051	+aw-f+ast	Adjective	+aw-f+ast
10510	ferd-wite	Noun	ferd-wite
10511	ferd-wyrt	Noun	ferd-wyrt
10512	fere	Adjective	fere
10513	fere	Noun	fere
10514	fered	Verb	fered
10515	fereld	Noun	fereld
10516	feren	Adjective	feren
10517	ferend	Noun	ferend
10518	fere-sc+at	Noun	fere-sc+at
10519	fere-soca	Noun	fere-soca
1052	+aw-f+asten	Noun	+aw-f+asten
10520	fergan	Verb	fergan
10521	fer-grunden	Verb	fer-grunden
10522	ferh	Noun	ferh
10523	ferh	Noun	ferh
10524	ferh-cw+ale	Noun	ferh-cw+ale
10525	ferh-cwalu	Noun	ferh-cwalu
10526	ferht	Noun	ferht
10527	ferht	Noun	ferht
10528	ferh+t	Noun	ferh+t
10529	ferh+t-bana	Noun	ferh+t-bana
1053	+aw-f+ast-man	Noun	+aw-f+ast-man
10530	ferh+t-cearig	Adjective	ferh+t-cearig
10531	ferh+t-cleofa	Noun	ferh+t-cleofa
10532	ferh+t-cofa	Noun	ferh+t-cofa
10533	ferh+t-frec	Adjective	ferh+t-frec
10534	ferh+t-fri+dende	Adjective	ferh+t-fri+dende
10535	ferh+t-geni+tla	Noun	ferh+t-geni+tla;ge-ni+tla
10537	ferh+t-gleaw	Adjective	ferh+t-gleaw
10539	ferh+t-lic	Adjective	ferh+t-lic
1054	+aw-festnys	Noun	+aw-festnys
10540	ferh+t-loca	Noun	ferh+t-loca
10542	ferh+t-sefa	Noun	ferh+t-sefa
10544	ferht-lic	Adjective	ferht-lic
10545	ferian	Verb	ferian
10546	Feriatus	Noun	Feriatus
10547	feriend	Noun	feriend
10548	ferigan	Verb	ferigan
10549	fering	Noun	fering;f+aring
1055	+a-wintre	Adjective	+a-wintre
10550	feringa	Adverb	feringa
10551	ferlic	Adjective	ferlic
10552	ferlice	Adverb	ferlice
10553	fern	Noun	fern
10554	fernes	Noun	fernes
10555	ferran	Verb	ferran
10556	ferrece	Noun	ferrece
10557	ferren	Adjective	ferren
10558	fers	Noun	fers
10559	FERSC	Adjective	FERSC
1056	+a-wintre-cyning	Noun	+a-wintre-cyning
10560	fer-scipe	Noun	fer-scipe
10561	fer-scrifen	Verb	fer-scrifen
10562	fersian	Verb	fersian
10563	fer+t	Noun	fer+t
10564	fer+t-fri+dende	Verb	fer+t-fri+dende
10565	fer+t-gewit	Noun	ferh+t-gewit;fer+t-gewit
10566	fer+t-grim	Adjective	ferh+t-grim;fer+t-grim
10567	fer+t-loca	Noun	fer+t-loca
10568	fer+t-sefa	Noun	fer+t-sefa
10569	fer+t+t	Noun	fer+t+t
1057	+awisc	Noun	+awisc
10570	fer+t+tes	Noun	fer+t+tes
10571	fer+t-werig	Adjective	ferh+t-werig;fer+t-werig
10572	ferwett-full	Adjective	ferwett-full
10573	fesian	Verb	fesian
10574	feste	Adverb	feste
10575	festen	Noun	festen
10576	festen-mon	Noun	festen-mon
10577	fester	Noun	fester
10578	fester-bearn	Noun	fester-bearn
10579	fester-f+ader	Noun	fester-f+ader
1058	+awisc	Adjective	+awisc
10580	fester-man	Noun	fester-man
10581	fester-modor	Noun	fester-modor
10582	festing-men	Noun	festing-men
10583	festlice	Adverb	festlice
10584	festnes	Noun	festnes
10585	festnian	Verb	festnian
10586	festrian	Verb	festrian
10587	fet	Verb	fet
10588	fet	Noun	fet
10589	fet	Verb	fet
1059	+awisc-berende	Verb	+awisc-berende
10590	fetan	Verb	fetan
10591	fete	Adjective	fete
10592	FETEL	Noun	FETEL
10593	fetel-hilt	Noun	fetel-hilt
10594	fetels	Noun	fetels
10595	FETER	Noun	FETER
10596	feterian	Verb	feterian
10597	feter-wrasen	Noun	feter-wrasen
10598	fe+da	Noun	fe+da;fe+tu
10599	fe+dan	Verb	fe+dan
1060	+awisc-mod	Adjective	+awisc-mod;+awisc
10600	Fe+dan-leag	Noun	Fe+dan-leag
10601	fe+de	Noun	fe+de
10602	fe+de-cempa	Noun	fe+de-cempa
10603	fe+de-gang	Noun	fe+de-gang
10604	fe+de-georn	Adjective	fe+de-georn
10605	fe+de-gest	Noun	fe+de-gest
10606	fe+de-here	Noun	fe+de-here
10607	fe+de-hwearf	Noun	fe+de-hwearf
10608	fe+de-last	Noun	fe+de-last
10609	fe+de-leas	Adjective	fe+de-leas
1061	+awisc-nys	Noun	+awisc-nys
10610	fe+de-man	Noun	fe+de-man
10611	fe+de-mund	Noun	fe+de-mund
10612	FE+DER	Noun	FE+DER
10613	fe+der-	Prefix	fe+der-
10614	fe+deran	Verb	fe+deran
10615	fe+der-bed	Noun	fe+der-bed
10616	fe+der-berende	Verb	fe+der-berende
10617	fe+der-cr+aft	Noun	fe+der-cr+aft
10618	fe+dere	Adjective	fe+dere
10619	fe+der-fote	Adjective	fe+der-fote
1062	+a-wita	Noun	+a-wita
10620	fe+der-gearwe	Noun	fe+der-gearwe
10621	fe+der-geweorc	Noun	fe+der-geweorc
10622	fe+der-hama	Noun	fe+der-hama
10623	fe+der-sceatas	Noun	fe+der-sceatas
10624	fe+der-scette	Adjective	fe+der-scette
10625	fe+der-scite	Adjective	fe+der-scite
10626	fe+de-spedig	Adjective	fe+de-spedig
10627	fe+de-wig	Noun	fe+de-wig
10628	fe+dm	Noun	fe+dm
10629	fe+dra	Noun	fe+dra
1063	+aw-lic	Adjective	+aw-lic
10630	fe+drum	Noun	fe+drum
10631	fe+du	Noun	fe+du
10632	fetian	Verb	fetian
10633	fetlum	Noun	fetlum
10634	fetor	Noun	fetor
10635	fetor-wrasen	Noun	fetor-wrasen
10636	fett	Adjective	fett
10637	fette	Verb	fette
10638	fettian	Verb	fettian
10639	feuer-fuge	Noun	feuer-fuge
1064	+awnian	Verb	+awnian
10640	fex	Noun	fex
10641	fexede	Adjective	fexede
10642	fic	Noun	fic
10643	FIC	Noun	FIC
10644	fic-adl	Noun	fic-adl
10645	fic-+appel	Noun	fic-+appel
